N,TL,TR,current_trail,thread_1,thread_2,thread_3,thread_4,thread_5,thread_6,thread_7,thread_8,Mean,std_div
Rate Function: sqrt(x*y/(x+y)),,,,,,,,,,,,,,
Test_1: Mean energy flux for changing length of the chain. Let N change from 2 to 100.,,,,,,,,,,,,,,
15,1,1.5,3,7975.12,8078.4,9801.82,9520.11,7501.94,10717,7278.43,9043.27,0.436975,
15,1,1.5,4,7975.12,8078.4,9801.82,9520.11,7501.94,10717,7278.43,9043.27,0.436975,
15,1,1.5,5,9628.89,10148.5,10831.6,10854.6,8845.9,9713.59,9554.79,8261.38,0.486495,
15,1,1.5,6,9628.89,10148.5,10831.6,10854.6,8845.9,9713.59,9554.79,8261.38,0.486495,
15,1,1.5,7,9628.89,10148.5,10831.6,10854.6,8845.9,9713.59,9554.79,8261.38,0.486495,
15,1,1.5,8,9628.89,10148.5,10831.6,10854.6,8845.9,9713.59,9554.79,8261.38,0.486495,
15,1,1.5,9,8931.97,10336.9,9816.9,9025.37,9768.54,8098.81,7488.15,8136.99,0.447523,
15,1,1.5,10,8931.97,10336.9,9816.9,9025.37,9768.54,8098.81,7488.15,8136.99,0.447523,
,,,,,,,,,,,,,=STDEV.S(M237:M246),
,,,,,,,,,,,,,,
15,1,2,1,20160.4,19490,20538.2,19351.8,19204.1,18181,20463,20021.4,0.983812,
15,1,2,2,17098.4,19914.7,18521.8,17898.1,18245.9,21162.4,19375,19217.2,0.946459,
15,1,2,3,17098.4,19914.7,18521.8,17898.1,18245.9,21162.4,19375,19217.2,0.946459,
15,1,2,4,17098.4,19914.7,18521.8,17898.1,18245.9,21162.4,19375,19217.2,0.946459,
15,1,2,5,19082.5,19891.3,20543.6,18316.1,19513.6,20130,20965.6,20316.7,0.992246,
15,1,2,6,19082.5,19891.3,20543.6,18316.1,19513.6,20130,20965.6,20316.7,0.992246,
15,1,2,7,19082.5,19891.3,20543.6,18316.1,19513.6,20130,20965.6,20316.7,0.992246,
15,1,2,8,19509.7,20283.2,21024.4,17935.6,17593,20404.9,19606.1,20521.9,0.980492,
15,1,2,9,19509.7,20283.2,21024.4,17935.6,17593,20404.9,19606.1,20521.9,0.980492,
15,1,2,10,19509.7,20283.2,21024.4,17935.6,17593,20404.9,19606.1,20521.9,0.980492,
,,,,,,,,,,,,,=STDEV.S(M249:M258),
,,,,,,,,,,,,,,
15,1,2.5,1,30504.4,30938.7,32239,35068.7,33767.3,34215,31030.3,33650.2,1.63383,
15,1,2.5,2,30504.4,30938.7,32239,35068.7,33767.3,34215,31030.3,33650.2,1.63383,
15,1,2.5,3,30504.4,30938.7,32239,35068.7,33767.3,34215,31030.3,33650.2,1.63383,
15,1,2.5,4,32875.2,32278.4,31498.7,29171.4,33005.2,31983.1,31324.8,34438,1.60359,
15,1,2.5,5,32875.2,32278.4,31498.7,29171.4,33005.2,31983.1,31324.8,34438,1.60359,
15,1,2.5,6,32875.2,32278.4,31498.7,29171.4,33005.2,31983.1,31324.8,34438,1.60359,
15,1,2.5,7,30610.2,33483.8,28552.6,32859.9,30823.5,33051.5,31989.7,31627.7,1.58124,
15,1,2.5,8,30610.2,33483.8,28552.6,32859.9,30823.5,33051.5,31989.7,31627.7,1.58124,
15,1,2.5,9,30610.2,33483.8,28552.6,32859.9,30823.5,33051.5,31989.7,31627.7,1.58124,
15,1,2.5,10,31405.4,32490.1,33388,30280.4,33990.5,33479.5,30397.7,34193.5,1.62266,
,,,,,,,,,,,,,=STDEV.S(M261:M270),
,,,,,,,,,,,,,,
15,1,3,1,47507.9,43509,47295.1,44658.7,43529.9,45561.3,43560.1,47025.9,2.26655,
15,1,3,2,47507.9,43509,47295.1,44658.7,43529.9,45561.3,43560.1,47025.9,2.26655,
15,1,3,3,44325.2,46819,47116,46535.5,42903.9,44991.4,45899.5,49242.1,2.29895,
15,1,3,4,44325.2,46819,47116,46535.5,42903.9,44991.4,45899.5,49242.1,2.29895,
15,1,3,5,44325.2,46819,47116,46535.5,42903.9,44991.4,45899.5,49242.1,2.29895,
15,1,3,6,44972.4,43776.6,45566.8,44834.5,44273.4,43365,41071.9,45838.9,2.21062,
15,1,3,7,44972.4,43776.6,45566.8,44834.5,44273.4,43365,41071.9,45838.9,2.21062,
15,1,3,8,48958.9,47959.6,43705.8,45170.2,45515.5,44854.6,46096.6,42848.8,2.28194,
